GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IIME001,IIME002,IIME003,IIME004,IIME005,IIME006,IIME007,IIME008,IIME009,IIME010,IIME011,IIME012,IIME013,IIME014,IIME015,IIME016,IIME017,IIME018,IIME019,IIME020,IIME021,IIME022,IIME023,IIME024,IIME025,IIME026,IIME027,IIME028,IIME029,IIME030,IIME031,IIME032,IIME033,IIME034,IIME035,IIME036,IIME037,IIME038,IIME039,IIME040,IIME041,IIME042,IIME043,IIME044,IIME045,IIME046,IIME047,IIME048,IIME049,IIME050,IIME051,IIME052,IIME053,IIME054,IIME055,IIME056,IIME057,IIME058,IIME059,IIME060,IIME061,IIME062,IIME063,IIME064,IIME065,IIME066,IIME067,IIME068,IIME069,IIME070,IIME071,IIME072,IIME073,IIME074,IIME075,IIME076,IIME077,IIME078,IIME079,IIME080,IIME081,IIME082,IIME083,IIME084,IIME085,IIME086,IIME087,IIME088,IIME089,IIME090,IIME091,IIME092,IIME093,IIME094,IIME095,IIME096,IIME097,IIME098,IIME099,IIME100,IIME101,IIME102,IIME103,IIME104,IIME105,IIME106,IIME107,IIME108,NAME_M,IIMM001,IIMM002,IIMM003,IIMM004,IIMM005,IIMM006,IIMM007,IIMM008,IIMM009,IIMM010,IIMM011,IIMM012,IIMM013,IIMM014,IIMM015,IIMM016,IIMM017,IIMM018,IIMM019,IIMM020,IIMM021,IIMM022,IIMM023,IIMM024,IIMM025,IIMM026,IIMM027,IIMM028,IIMM029,IIMM030,IIMM031,IIMM032,IIMM033,IIMM034,IIMM035,IIMM036,IIMM037,IIMM038,IIMM039,IIMM040,IIMM041,IIMM042,IIMM043,IIMM044,IIMM045,IIMM046,IIMM047,IIMM048,IIMM049,IIMM050,IIMM051,IIMM052,IIMM053,IIMM054,IIMM055,IIMM056,IIMM057,IIMM058,IIMM059,IIMM060,IIMM061,IIMM062,IIMM063,IIMM064,IIMM065,IIMM066,IIMM067,IIMM068,IIMM069,IIMM070,IIMM071,IIMM072,IIMM073,IIMM074,IIMM075,IIMM076,IIMM077,IIMM078,IIMM079,IIMM080,IIMM081,IIMM082,IIMM083,IIMM084,IIMM085,IIMM086,IIMM087,IIMM088,IIMM089,IIMM090,IIMM091,IIMM092,IIMM093,IIMM094,IIMM095,IIMM096,IIMM097,IIMM098,IIMM099,IIMM100,IIMM101,IIMM102,IIMM103,IIMM104,IIMM105,IIMM106,IIMM107,IIMM108
"G010","2010",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",4597335,160,232,73,660698,9104,342,113,328,5206,206,943,322,1165,479,400,63,370,4130,75,924,951,14951,421,1741,3551,69,367,1377,0,3784,2078,3377,49685,932,418961,64,39744,1208,91804,8038,339031,0,9601,63,4936,306,1551,467002,609,81993,212,1788,638,60,136,58,1405,14013,181,32003,3913,1740,8843,3704,75353,97784,599,1206,1713,443,0,35994,0,679,0,800,0,1801,0,90,58,209,1072,206,194,30336,549,16228,4910,2424,2723,17082,8850,563,228,40,176,152,528,486,4457,428,366,1393,33,781,2038127,"Alabama",32851,251,166,123,20517,2583,497,131,318,1989,271,748,271,616,364,314,103,285,1635,121,327,639,2370,369,990,1086,132,300,644,273,1232,796,901,5742,679,14334,110,4240,792,7113,1544,11482,273,2478,83,1426,281,837,14800,554,6950,188,728,625,100,153,80,715,2392,219,4202,1416,1184,2179,1305,5849,6444,528,1045,822,315,273,4533,273,791,273,583,273,1305,273,165,96,221,1542,312,307,4332,459,2804,1348,1961,1114,2372,2774,436,282,66,176,179,345,444,1841,508,584,1314,57,511,18275
"G020","2010",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",868699,0,101,0,26611,1356,49,0,0,893,56,0,73,91,194,692,47,436,2321,387,522,486,6574,99,0,2961,62,1104,967,0,4040,1233,5282,13853,894,60890,295,17674,5796,26383,8940,130862,0,2126,0,2163,67,254,78413,73,23845,486,1525,313,69,0,178,1992,27444,537,19243,1738,931,10027,4096,8779,20831,440,607,623,171,0,3443,0,102,0,0,0,445,0,0,577,50,15,27,0,1665,562,17602,3899,114,1306,5920,1195,93,0,0,0,193,0,112,196,148,0,381,72,307,307074,"Alaska",12179,246,115,246,4341,770,79,246,246,617,69,246,124,134,271,496,80,387,830,308,302,406,2320,134,246,1457,102,715,601,246,1845,646,1440,2494,634,5658,286,3365,1899,3247,2288,7812,246,1135,246,760,107,289,5747,124,3525,460,756,329,114,246,166,785,3516,370,2712,803,580,2637,1581,1613,3192,382,620,412,188,246,1269,246,108,246,246,246,470,246,246,287,86,27,42,246,1053,644,2832,1541,167,706,1597,684,137,246,246,246,383,246,113,180,235,246,371,115,229,7002
"G040","2010",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",7238726,2427,1219,44,323812,30583,1425,5839,566,6401,866,1915,4131,6213,3227,8322,5075,2702,15061,1094,6946,3264,22883,1778,1110,22052,0,693,7329,46,28946,6339,44502,94942,6979,578244,359,65448,12259,161685,31980,968174,338,26668,241,32002,1491,5914,624091,1798,277341,1573,8869,1160,365,538,434,5085,112883,3193,156964,12828,8151,58566,14698,59956,114303,4886,1396,11536,2267,0,31456,120,778,1195,826,1468,4286,0,286,2210,1553,1669,0,0,14120,2945,102907,18375,2842,13007,39430,7676,0,443,546,0,461,651,654,2796,298,0,1096,731,9342,3007859,"Arizona",43257,1875,978,73,17314,5585,733,2771,486,2128,1175,1743,1913,3092,1646,2680,2823,1426,2109,615,1499,1382,3132,860,692,2883,305,447,1638,79,4223,1428,4196,8023,1729,18851,286,5754,2179,7404,5236,22216,285,5038,289,3761,685,1409,17509,1216,12510,566,1742,606,254,350,490,1394,6503,957,11158,2298,1836,5510,2364,4404,7613,1817,675,3011,900,305,5310,201,891,961,657,1094,1996,305,462,1730,1205,1761,305,305,3496,1647,7372,3375,1436,2503,4105,1924,305,532,544,305,743,452,498,1132,255,305,677,1148,2128,22042
"G050","2010",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2907241,0,0,0,317687,5285,312,778,0,1663,358,528,611,823,212,191,108,732,3010,961,989,1270,7840,0,1060,1714,0,262,1517,0,5397,2775,5142,50387,96,287269,158,25080,1941,60293,5434,327754,14,3490,0,4983,76,665,365875,32,47520,279,978,232,206,0,12,954,12446,1175,22717,2754,1829,5485,2300,38109,47744,187,166,1058,117,0,6969,0,0,0,0,0,359,0,0,0,87,0,0,0,6194,329,17472,5037,401,1229,12338,5499,539,0,0,0,43,3357,686,668,59,0,147,0,199,1182342,"Arkansas",27616,273,273,273,12564,2270,353,929,273,1266,599,624,477,607,352,197,184,678,888,1444,550,1053,1476,273,612,718,273,222,974,273,1124,1411,1541,5304,157,10736,241,3402,778,5047,1394,10098,23,1365,273,2104,124,927,11793,54,5825,291,494,315,210,273,21,619,2304,867,3025,1041,1025,1675,878,3735,4767,249,158,697,142,273,1616,273,273,273,273,273,278,273,273,273,143,273,273,273,1577,290,2800,1280,436,578,2224,1498,498,273,273,273,76,1223,542,438,102,273,245,273,186,16063
"G060","2010",,,"California","06",,,,,,,,,,,,,,,,,,"California",42578437,36038,5088,547,857524,279208,39436,26311,13519,58372,11247,20969,20135,43828,45391,254696,39706,20009,75421,18772,24529,31447,146576,11697,2814,85225,365,8577,45033,312,87100,24253,184002,396853,62420,2327331,4717,544363,48163,728284,104962,3331690,1744,136737,2090,132860,6157,215372,2573023,23170,1503836,9514,50900,3813,3529,5745,4899,54747,383922,7403,509365,356704,62711,436225,65772,247530,519955,18101,12756,23349,7413,129,273141,1887,27706,3182,3300,1886,20358,613,931,7726,9936,2264,1931,916,183293,7212,435274,111798,24575,99624,162550,76968,829,1068,20063,515,2155,1493,6766,29442,5329,528,8469,311,33314,24194000,"California",75953,8133,1795,267,25073,16918,6586,5847,4009,6089,3221,4025,4949,6521,7491,11672,6262,3834,5225,3249,3366,4660,8631,2591,978,6399,279,2406,4084,296,5417,3208,8431,12283,4743,31632,1420,18637,3851,20191,7082,33751,667,8668,1110,7341,1383,13971,30838,3745,29862,1971,4913,1181,1226,1674,1390,5506,15097,1774,15804,15216,6153,14493,6061,8426,15190,3157,2732,2713,1794,215,16277,1132,5384,1950,1491,1737,4480,831,728,3396,2550,1329,1804,672,12732,1919,13607,7529,4107,9637,7832,7518,613,512,4517,368,1358,661,1885,4686,1400,376,2212,292,4486,52637
"G080","2010",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",6126307,1129,241,116,243886,17119,728,1313,951,4282,2343,795,1383,1918,3406,4220,250,2873,23429,1711,7007,1768,28859,2486,1377,19044,0,1717,8141,231,41152,6682,45505,92816,7474,546902,1875,111207,12318,155790,28740,1084080,217,18331,56,21284,959,6658,613597,1241,251804,1269,9701,365,379,166,232,12493,112098,2072,125929,9733,5489,55723,16560,65306,129386,2326,4295,8594,6314,0,34440,0,8128,1519,0,384,1012,481,0,4114,898,2708,57,0,13031,2108,131292,24786,1421,10234,46566,7076,40,65,358,79,181,85,953,4789,39,0,487,0,5841,1881929,"Colorado",36011,941,256,134,10895,3541,658,1234,1122,1202,1380,1091,626,837,1498,1795,403,1196,3658,797,1449,866,3655,1396,720,3293,279,867,2108,286,4124,1706,5197,5346,1523,14326,989,7193,2619,7825,3470,19665,192,3006,101,2995,535,2317,17981,736,10494,744,1815,370,315,156,234,2571,7952,623,9120,2072,1427,4354,3557,4700,7123,887,1363,1860,1309,279,4593,279,2982,923,279,601,590,435,279,2081,622,2065,96,279,2852,1584,7755,3222,815,2164,4715,1916,69,117,409,92,224,108,659,1682,68,279,451,279,1956,21110
"G090","2010",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",4521855,406,9577,92,98337,18086,1361,357,121,8069,949,1332,1771,1905,2221,7847,761,1827,12619,129,2347,22096,15742,945,0,18659,399,433,4195,199,15051,6298,14424,31719,13652,329019,558,29832,6159,209533,99934,349656,0,33047,3672,38142,992,2692,595804,724,668370,1900,29779,120,2060,431,0,3577,21540,1110,301935,50113,6838,63903,4850,21927,72406,1667,2314,20504,1355,0,32137,3977,537,2226,457,69,1645,0,0,246,1132,640,232,77,19580,1319,64160,8577,3733,18804,15216,87149,249,1337,643,54,1463,189,18628,52185,2542,413,9092,354,3364,1016412,"Connecticut",27433,357,3842,108,7189,2906,836,411,198,1784,618,1676,685,1049,1174,1977,540,970,1690,153,828,4580,2156,750,281,2888,336,319,1227,196,2551,1289,2506,3604,3084,10415,428,3782,1405,9674,7261,12136,281,4287,1742,3929,850,1259,14636,578,15380,612,2974,144,1743,364,281,1397,3472,511,12178,5399,1970,4444,2044,2648,6273,1190,729,2905,889,281,5158,2276,448,1385,466,118,1031,281,281,319,682,649,297,128,4070,734,4693,1629,1501,2806,2178,8708,315,1109,1001,85,685,179,4374,5930,1587,521,2954,360,1627,12781
"G100","2010",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",1078498,0,498,46,38201,1092,52,0,0,536,160,123,49,49,123,663,56,49,1499,15,125,563,4306,0,0,1516,0,439,282,0,2905,887,1983,16094,1293,105321,959,5909,630,18107,2565,141309,0,5497,422,4522,53,365,162722,0,86706,83,2156,0,0,0,27,374,3965,3040,51065,940,1394,6224,689,9952,15242,117,410,2038,291,0,10640,59,231,790,240,463,1217,0,325,0,0,95,44,0,6627,549,6096,1905,387,5731,8902,6454,0,92,0,137,123,0,2555,2056,745,65,615,66,487,332290,"Delaware",14623,265,504,76,4448,456,86,265,265,312,150,212,83,81,146,419,92,81,636,26,136,497,1081,265,265,734,265,325,223,265,971,520,1369,2883,816,6962,1387,1620,512,2730,864,7605,265,1152,445,1158,86,449,8096,265,5832,87,806,265,265,265,32,290,1161,1197,4959,645,648,1531,456,2261,2111,137,260,1068,211,265,2926,97,288,829,256,458,888,265,376,265,265,158,78,265,2528,515,1292,710,380,1173,2146,1957,265,105,265,229,149,265,1597,974,633,107,357,103,322,7478
"G110","2010",,,"District Of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",640798,49,695,109,7181,4548,334,393,0,1720,114,342,360,744,541,431,0,618,2091,194,598,830,4134,147,42,964,92,0,951,0,1097,206,1223,4078,4642,31143,120,7962,1152,10981,1494,39294,0,2775,349,2946,0,1006,41980,83,16511,190,1503,67,0,33,469,554,2923,69,9997,1368,1363,9862,1564,3582,6994,424,110,697,306,0,18847,96,4779,193,0,104,2420,0,150,83,110,43,71,0,10011,787,4522,1808,910,1854,2941,7785,0,235,105,181,185,0,879,3056,1221,173,1750,0,171,367169,"District of Columbia",8588,84,599,139,1864,1589,252,459,292,1025,133,491,247,494,458,323,292,465,755,202,342,679,1062,142,68,474,151,292,596,292,589,171,521,1098,1171,2500,143,1882,508,1768,527,3781,292,903,266,1055,292,501,3733,97,2492,234,600,106,292,55,311,428,936,116,1406,670,802,1614,678,956,1214,244,132,350,236,292,3258,113,1689,194,292,170,1422,292,249,136,139,70,115,292,2221,406,1283,709,524,770,786,2211,292,151,177,240,206,292,618,1658,795,219,897,292,206,7197
"G120","2010",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",20838572,95,14830,610,1370984,103611,11616,2439,2076,34923,8891,6375,10640,15913,10738,15856,1210,5477,50138,1136,15777,67195,90277,5813,2467,68961,467,2875,15523,0,58666,16219,42144,215923,27200,1502085,2136,226912,29818,469932,110722,2091834,631,90280,21205,111264,2272,11646,1897126,15392,1204978,5144,40113,786,2586,3116,613,7833,122521,10367,489371,77303,33063,232336,20573,170880,296667,12681,6629,31992,8668,213,141525,2144,3197,932,1418,1739,7220,0,255,0,5160,716,0,98,116946,1700,149578,33183,15095,42778,91341,809985,28040,6507,3707,766,11588,1484,424101,246478,31316,2738,51953,1307,20895,7979050,"Florida",62367,160,4627,424,32870,10150,3070,1260,1186,4954,3289,2641,2832,3662,3825,3658,807,1538,4353,626,2638,8123,4947,2404,966,5198,406,1115,2895,310,4566,2200,4255,10379,3363,25223,937,13388,3565,16027,7145,29787,720,7986,5408,7112,1139,2567,30709,3602,28617,1429,4181,518,1127,1337,416,2968,7381,2233,14779,7147,4219,9801,4182,7873,12758,3399,1180,3529,2061,209,11189,1301,1647,513,820,1361,2243,310,311,310,1685,839,310,157,10107,1041,7082,3219,3462,4906,6194,25606,5165,2041,1588,428,3578,917,18978,13899,5365,1155,6819,905,4636,39058
