GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,JV3E001,JV3E002,JV3E003,JV3E004,JV3E005,JV3E006,JV3E007,JV3E008,JV3E009,JV3E010,JV3E011,JV3E012,JV3E013,JV3E014,JV3E015,JV3E016,JV3E017,JV3E018,JV3E019,JV3E020,JV3E021,JV3E022,JV3E023,JV3E024,JV3E025,JV3E026,JV3E027,JV3E028,JV3E029,JV3E030,JV3E031,JV3E032,JV3E033,JV3E034,JV3E035,JV3E036,JV3E037,JV3E038,JV3E039,JV3E040,JV3E041,JV3E042,JV3E043,JV3E044,JV3E045,JV3E046,JV3E047,JV3E048,JV3E049,JV3E050,JV3E051,JV3E052,JV3E053,JV3E054,JV3E055,JV3E056,JV3E057,JV3E058,JV3E059,JV3E060,JV3E061,JV3E062,JV3E063,JV3E064,JV3E065,JV3E066,JV3E067,JV3E068,JV3E069,JV3E070,JV3E071,JV3E072,JV3E073,JV3E074,JV3E075,JV3E076,JV3E077,JV3E078,JV3E079,JV3E080,JV3E081,JV3E082,JV3E083,JV3E084,JV3E085,JV3E086,JV3E087,JV3E088,JV3E089,JV3E090,JV3E091,JV3E092,JV3E093,JV3E094,JV3E095,JV3E096,JV3E097,JV3E098,JV3E099,JV3E100,JV3E101,JV3E102,JV3E103,JV3E104,JV3E105,JV3E106,JV3E107,JV3E108,NAME_M,JV3M001,JV3M002,JV3M003,JV3M004,JV3M005,JV3M006,JV3M007,JV3M008,JV3M009,JV3M010,JV3M011,JV3M012,JV3M013,JV3M014,JV3M015,JV3M016,JV3M017,JV3M018,JV3M019,JV3M020,JV3M021,JV3M022,JV3M023,JV3M024,JV3M025,JV3M026,JV3M027,JV3M028,JV3M029,JV3M030,JV3M031,JV3M032,JV3M033,JV3M034,JV3M035,JV3M036,JV3M037,JV3M038,JV3M039,JV3M040,JV3M041,JV3M042,JV3M043,JV3M044,JV3M045,JV3M046,JV3M047,JV3M048,JV3M049,JV3M050,JV3M051,JV3M052,JV3M053,JV3M054,JV3M055,JV3M056,JV3M057,JV3M058,JV3M059,JV3M060,JV3M061,JV3M062,JV3M063,JV3M064,JV3M065,JV3M066,JV3M067,JV3M068,JV3M069,JV3M070,JV3M071,JV3M072,JV3M073,JV3M074,JV3M075,JV3M076,JV3M077,JV3M078,JV3M079,JV3M080,JV3M081,JV3M082,JV3M083,JV3M084,JV3M085,JV3M086,JV3M087,JV3M088,JV3M089,JV3M090,JV3M091,JV3M092,JV3M093,JV3M094,JV3M095,JV3M096,JV3M097,JV3M098,JV3M099,JV3M100,JV3M101,JV3M102,JV3M103,JV3M104,JV3M105,JV3M106,JV3M107,JV3M108
"G010","2006-2010",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4596245,59,164,122,629152,10369,757,278,924,4477,603,584,542,1358,846,522,32,984,4068,68,1332,864,17673,346,1592,3696,26,666,1305,0,5484,1883,4771,56214,887,451869,81,38692,2304,90000,10509,364083,134,8986,149,4869,173,1940,491029,353,83808,317,1560,220,101,122,215,1401,15596,595,33111,4011,1435,8648,3322,113138,99232,277,698,1596,345,0,35394,0,217,93,921,97,1560,0,34,11,378,456,102,53,30949,523,18238,4476,1393,2410,18106,7971,264,105,116,96,183,774,1121,3378,504,141,1178,111,1097,1929962,"Alabama",13283,67,90,93,7398,1173,399,312,492,685,285,197,234,403,344,166,21,526,549,45,322,268,1075,181,351,561,31,205,284,119,718,321,589,2466,305,5778,76,2104,396,3022,1064,6488,135,875,88,608,109,382,6209,215,2662,142,255,126,76,86,133,355,1144,172,1583,750,278,760,472,2838,2877,129,262,329,117,119,1996,119,125,88,400,112,472,119,54,16,152,366,79,55,1777,191,1333,621,590,404,1029,1022,137,68,76,52,111,209,509,563,259,159,456,70,281,7776
"G020","2006-2010",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",866417,0,471,20,24459,1207,81,34,0,692,41,54,114,95,96,271,14,593,2075,199,616,432,4363,224,123,2616,117,504,852,0,3516,1237,5778,15428,460,69363,166,14134,4418,24258,7044,134424,99,2244,45,2671,160,137,85326,109,25157,252,968,124,215,169,121,1579,28598,496,17329,2567,804,10011,4300,16456,22096,304,420,925,155,0,3475,10,260,0,82,32,163,11,41,424,17,558,9,0,1717,151,18842,3164,173,1634,6512,1523,62,0,33,0,231,293,335,245,91,37,185,11,895,286980,"Alaska",5225,109,312,20,1593,314,64,35,109,263,47,51,77,85,66,135,22,252,384,108,159,182,773,179,65,531,133,172,327,109,458,356,738,1069,157,2167,165,1218,725,1286,794,3171,92,439,60,655,91,96,2415,58,1634,107,230,91,143,153,93,343,1407,168,1451,463,273,912,596,1022,1333,128,199,221,77,109,776,18,191,109,105,52,129,19,36,192,25,345,12,109,443,130,1204,505,112,350,727,376,65,109,51,109,195,217,202,101,79,43,93,21,285,2961
"G040","2006-2010",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",7297606,1386,2656,145,272761,29862,1788,5224,1279,9427,490,851,2959,4690,3154,5863,2956,1965,14542,1969,6568,2220,25456,1750,1101,20054,85,1245,8595,54,29168,6850,45625,103144,5805,630710,395,63900,13597,179366,34483,1011650,406,24950,299,30350,1449,7024,667632,1625,290274,1588,13206,1492,542,985,495,5102,117455,3475,161575,16847,13286,58691,18210,103566,130243,4909,2540,10327,2595,0,28150,263,1489,625,616,690,2218,15,96,3028,1570,1651,86,59,13653,2091,109020,20063,2477,14120,44751,7702,118,193,441,78,276,751,792,3184,680,88,997,104,11598,2842661,"Arizona",16608,558,838,65,5586,2369,425,1375,509,1167,267,351,592,993,765,939,770,413,1012,449,689,626,1423,418,290,1171,64,383,844,41,1607,723,2057,2537,615,7384,162,2734,993,4380,1797,9263,226,1623,151,1863,380,907,7481,408,5630,361,943,296,197,399,197,748,3423,600,4485,1242,1234,2456,1254,2572,3630,707,373,918,352,132,2324,173,494,349,320,374,737,23,116,1128,452,749,92,86,1794,790,2873,1301,561,1054,1813,1068,96,121,266,79,227,261,275,596,307,90,321,154,1489,8404
"G050","2006-2010",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2938730,10,17,27,309378,4529,248,205,434,1145,136,212,520,1044,585,400,110,500,1972,288,1275,547,10712,284,1619,2252,15,391,826,22,6665,2087,5934,54436,252,294987,120,21677,1435,66023,6437,350425,71,3592,0,3909,90,685,381337,196,48955,187,1202,131,42,48,20,955,13691,925,24848,2665,1270,5047,3145,58485,53087,406,445,1056,102,6,10636,8,120,75,85,40,534,0,11,114,124,16,0,0,9178,331,18687,5805,438,1286,13110,4974,168,84,12,12,40,3076,423,840,140,0,162,17,480,1131064,"Arkansas",11694,17,28,30,5423,817,186,165,289,358,160,132,281,417,304,231,73,235,314,297,285,242,1148,171,399,404,24,143,237,27,773,455,630,2038,109,5444,108,1557,332,2417,525,5244,71,650,119,605,75,267,5881,174,2132,112,294,90,41,45,29,283,1011,279,1729,420,295,620,596,2342,1917,157,192,237,59,9,1126,13,97,84,63,59,314,119,18,133,84,27,119,119,1035,156,1080,622,203,310,832,555,116,88,18,22,52,449,268,279,124,119,115,22,167,7550
"G060","2006-2010",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,"California",42179070,33216,3854,926,889435,247243,37531,15029,13108,58107,8147,18442,19307,41438,36134,241323,27563,19471,81470,20606,27884,30167,150588,11242,2987,90905,374,7889,45537,604,94047,25946,194960,422077,56408,2482263,3744,469275,54331,775213,117231,3506466,1616,138194,2932,131741,7372,203656,2748155,28074,1543300,11443,51747,2948,2776,7582,4604,45938,401548,7691,515633,374875,67491,446376,67697,435810,565334,15315,13137,24859,8956,334,265745,2514,24586,2383,3397,1184,21824,644,667,7150,8602,3028,1202,726,181250,6588,456603,114687,22091,93449,180792,73694,775,1235,19627,308,1757,2806,7538,25882,4439,450,8589,288,37235,22922395,"California",32730,2851,691,198,9062,7568,2148,1619,1811,3145,1093,2181,1622,2399,2404,5447,2309,1366,2695,1607,1292,1870,3534,1103,459,2881,172,821,1941,292,2689,1472,3875,7041,2399,15151,519,7178,2044,8399,3199,16646,357,3540,453,3418,913,6200,15437,1718,11897,893,1801,417,470,875,570,2294,6090,684,7657,5563,2268,6018,2313,5516,7344,1283,1005,1382,752,136,7081,539,2172,550,691,388,2288,328,253,1255,979,767,481,277,5974,1099,6257,3032,1610,3461,4439,2921,282,367,1755,156,483,481,1032,1798,618,264,994,125,1722,23551
"G080","2006-2010",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",6034396,1111,630,254,218038,16488,764,730,411,5701,1560,653,1344,1994,3331,2877,130,2509,20532,1653,7111,2229,27593,2078,1314,12644,23,1935,6570,85,38207,6821,46668,96824,6705,581842,832,88809,11951,164476,29127,1120643,560,19656,109,21113,1337,4419,628929,1208,253097,2142,10148,910,291,430,713,8513,114313,2598,123913,10527,5560,60224,18006,108078,139848,2263,3852,9132,5966,0,27233,52,6547,830,132,371,832,108,14,1838,1094,1202,290,56,12605,1262,137182,25250,1702,13260,46949,6514,108,72,340,33,250,335,754,3327,208,21,1049,17,8233,1691509,"Colorado",12508,419,223,118,4369,1759,260,321,221,693,483,336,349,555,954,535,100,467,1188,372,736,480,1373,533,330,987,31,405,662,75,1929,623,1864,2511,775,6367,186,2917,1133,3389,1535,7662,170,1291,105,1477,320,661,7371,306,3791,378,740,224,111,219,254,996,3024,395,3264,927,554,2109,1256,2548,3173,355,499,925,634,123,1749,57,1121,304,104,224,293,80,24,618,353,710,202,54,1264,366,3250,1426,391,1014,1618,874,81,49,224,33,145,150,251,807,109,32,285,27,1120,8584
"G090","2006-2010",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",4545907,478,9401,104,94674,18013,1396,437,248,9293,1264,379,2249,1375,1372,5875,703,1433,15059,85,3118,17330,16877,932,273,18069,149,617,3218,110,15840,6136,13331,30302,11000,363910,779,24255,6699,225310,104750,361307,67,31649,3650,40489,445,2460,614767,1210,675399,1876,32136,246,910,463,176,2619,19891,874,297615,54496,6264,71159,3916,48840,72788,1053,2028,22283,1374,23,28542,4381,481,1522,396,662,2078,19,31,579,943,292,73,27,15637,1421,66693,10239,3256,22353,14946,80311,365,1210,172,117,1702,207,18345,48937,2823,213,6104,116,5494,932770,"Connecticut",10586,210,1368,46,3236,1568,448,236,154,850,474,282,462,467,352,811,246,360,927,55,498,1609,1130,275,99,1098,78,161,440,68,1059,622,978,1620,1031,5501,237,1422,726,3956,2766,5704,55,1929,895,1818,220,526,5692,290,7302,375,1583,144,440,175,109,480,1119,232,4823,2413,796,2423,535,1605,2454,413,375,1128,282,37,2143,875,308,455,280,626,600,26,36,362,286,262,72,31,1527,440,1975,851,670,1315,870,3402,250,375,241,72,531,133,2017,2449,594,137,843,62,879,5695
"G100","2006-2010",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",1059629,86,269,30,37428,2836,209,1,122,654,218,125,119,483,905,448,6,50,2016,81,303,221,4508,230,86,1825,8,107,487,0,2392,966,1776,14189,1108,108450,348,5354,475,19289,3283,141172,0,4820,506,4921,52,599,160416,117,86944,180,2741,41,13,63,22,286,4636,3020,45593,1897,1323,7508,720,15385,16995,223,583,1961,183,0,10135,47,218,544,811,504,1100,4,63,12,132,70,12,0,6305,313,7281,2262,652,5892,9396,8678,0,136,28,31,204,100,2555,4136,541,42,878,27,323,303435,"Delaware",4270,103,208,28,1775,882,123,3,115,248,129,71,77,187,705,144,10,37,299,122,115,125,565,168,68,351,14,69,209,119,428,214,404,1198,273,2306,326,612,119,1028,412,3032,119,718,223,600,51,276,3023,102,2586,96,417,31,19,45,26,133,665,443,1708,358,370,625,233,1060,1081,111,168,417,97,119,1219,40,251,264,479,247,451,8,78,18,105,83,20,119,942,191,720,433,266,544,889,1222,119,93,22,46,90,144,869,847,203,46,425,29,135,3457
"G110","2006-2010",,,"District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",629012,121,183,39,8279,3776,315,114,28,1243,362,261,251,627,575,574,14,295,2131,222,496,616,4625,309,73,972,40,48,611,11,1392,278,1495,3668,3934,30309,177,7573,778,9561,1916,38822,0,2120,355,2196,59,1262,39622,279,17817,297,1441,127,125,24,174,610,3821,67,11744,1209,1068,9585,895,5907,7961,330,134,930,334,0,15795,93,2601,385,211,91,1682,163,172,13,182,51,74,13,9069,995,4055,1732,511,1967,2671,8198,120,267,101,41,296,26,1095,3576,1288,171,1217,0,243,360009,"District of Columbia",3483,97,121,34,714,594,133,143,33,329,175,193,114,211,188,167,23,122,348,100,153,235,520,135,51,217,32,35,190,19,303,99,358,376,544,1284,95,694,168,701,265,1497,132,316,130,327,46,309,1527,119,1007,95,270,90,102,27,100,247,483,56,768,315,265,685,218,507,545,122,76,256,113,132,1210,59,547,141,172,67,471,150,169,20,93,42,70,21,996,323,508,296,157,347,319,1014,97,112,102,34,148,30,308,774,313,96,338,132,135,2755
"G120","2006-2010",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",20775841,1078,11060,444,1269765,95752,10623,1718,2907,32346,8858,5557,10081,15315,8347,13446,996,5111,57024,1998,15450,73827,89770,6029,3242,71240,320,2843,16360,135,60744,17795,47700,232801,22944,1629852,1990,167285,28029,504650,119700,2212580,462,94742,21902,106462,2368,12999,1979058,16091,1215631,4921,43399,1222,2426,2930,990,7003,118894,10545,511229,69509,35837,239314,20098,289491,335948,8922,6656,33763,5739,134,145105,2983,3615,1187,925,1287,8180,147,339,0,5723,943,59,442,116581,2694,164461,38285,15289,48668,101857,750598,24810,5629,4237,1077,12326,2022,380005,246902,29267,4333,38779,1211,20414,7510519,"Florida",35901,495,1691,138,14906,4002,1351,445,828,1825,1231,1232,1165,1288,1110,1029,475,643,1905,413,891,4122,2763,829,527,2668,132,431,1076,106,2161,1186,2143,4471,1500,12895,446,4994,1672,7184,3419,14233,209,2700,2136,2888,552,1345,13497,1731,11456,539,1663,286,487,515,272,838,3193,880,7533,2351,1784,4294,1428,4801,4731,909,662,1699,569,82,5433,583,887,399,433,478,1228,107,216,136,851,560,59,235,5278,666,3907,1537,1624,2081,3044,11830,2141,970,847,424,1394,466,9482,6127,2187,894,2770,377,1762,18954
