GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,TRBL_BGA,BLCK_GRPA,C_CITYA,TRUSTA,RES_ONLYA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GV5001,GV5002,GV5003,GV5004,GV5005,GV5006,GV5007,GV5008,GV5009,GV5010,GV5011,GV5012,GV5013,GV5014,GV5015,GV5016,GV5017,GV5018,GV5019,GV5020,GV5021,GV5022,GV5023,GV5024,GV5025,GV5026,GV5027,GV5028,GV5029,GV5030,GV5031,GV5032,GV5033,GV5034,GV5035,GV5036,GV5037,GV5038,GV5039,GV5040,GV5041,GV5042,GV5043,GV5044,GV5045,GV5046,GV5047,GV5048,GV5049,GV5050,GV5051,GV5052,GV5053,GV5054,GV5055,GV5056,GV5057,GV5058,GV5059,GV5060,GV5061,GV5062,GV5063,GV5064,GV5065,GV5066,GV5067,GV5068,GV5069,GV5070,GV5071
"G0100010","2000","3","6","Alabama","01","Autauga","001",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Autauga County",8,0,0,0,33,0,4,9,23,24,26,10,158,0,33,0,8,4,0,29,9,35,447,0,4325,0,451,11,831,197,3488,0,43,0,11,0,0,3683,5,629,0,0,4,0,0,0,21,75,0,373,0,20,43,13,1079,615,0,8,28,4,0,204,241,15,0,5,7886,146,55,4,10295
"G0100030","2000","3","6","Alabama","01","Baldwin","003",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Baldwin County",98,6,0,0,156,31,0,41,184,11,62,12,649,7,360,0,41,65,0,809,427,476,2031,13,16433,0,1582,146,4332,589,15713,15,410,8,238,0,81,14822,0,3789,0,121,0,0,7,0,98,1085,37,1569,125,15,320,148,4984,3192,34,44,90,1,0,846,1480,227,27,100,21464,723,32,76,24365
"G0100050","2000","3","6","Alabama","01","Barbour","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Barbour County",25,0,0,0,10,0,0,0,2,0,0,0,127,0,23,0,0,0,0,7,0,21,138,2,1193,0,142,0,425,10,898,0,18,0,11,0,20,1285,0,201,2,0,0,0,0,0,0,51,11,82,1,5,6,30,378,207,0,2,0,0,0,451,63,3,0,0,4196,84,23,19,13317
"G0100070","2000","3","6","Alabama","01","Bibb","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bibb County",0,0,0,0,0,7,0,0,15,0,0,0,37,15,3,0,5,0,0,7,0,3,345,0,1325,0,140,9,214,0,689,0,29,0,13,0,2,1295,0,175,0,14,0,0,0,0,0,123,0,42,0,0,2,2,326,198,0,0,0,0,0,38,19,7,0,13,4105,25,0,0,4568
"G0100090","2000","3","6","Alabama","01","Blount","009",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Blount County",0,0,0,0,16,0,0,2,0,0,0,0,117,3,15,0,0,0,0,35,0,38,548,0,3749,0,258,0,867,63,2574,0,52,0,46,0,0,5500,0,438,0,0,0,0,0,0,3,80,0,121,16,2,5,0,1256,772,0,0,0,0,0,33,45,39,0,2,11501,100,7,0,8139
"G0100110","2000","3","6","Alabama","01","Bullock","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bullock County",12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,47,0,335,0,17,0,6,0,155,0,0,0,5,0,0,360,0,26,0,0,0,0,0,0,0,18,0,7,0,0,0,0,73,93,0,0,0,0,0,59,0,6,0,0,1241,0,65,30,6868
"G0100130","2000","3","6","Alabama","01","Butler","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Butler County",6,0,0,0,0,0,0,0,0,0,0,0,39,0,5,0,0,0,0,7,0,0,170,0,798,0,129,0,88,15,393,0,0,0,0,0,0,918,0,39,0,0,0,0,0,0,0,4,0,63,0,0,9,0,345,180,0,0,0,0,0,117,7,9,0,0,3643,20,14,0,7925
"G0100150","2000","3","6","Alabama","01","Calhoun","015",,,,,,,,,,,,,"0450","9999","9999",,,,,,,,"Calhoun County",11,0,5,0,73,11,0,5,43,0,62,0,343,0,69,0,19,21,0,93,50,82,1445,0,8401,0,696,61,1365,159,6057,0,123,0,73,28,0,9943,0,1336,0,12,0,0,0,0,8,379,2,487,54,4,97,107,1780,1388,0,5,0,0,0,515,269,146,6,40,24778,377,100,7,28489
"G0100170","2000","3","6","Alabama","01","Chambers","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chambers County",13,0,0,0,8,0,0,6,0,0,9,0,37,0,20,0,7,0,0,0,9,9,267,0,1761,0,102,8,235,38,1086,9,9,0,13,0,0,2075,0,190,0,0,0,0,0,0,0,30,0,43,7,14,0,0,337,385,0,0,0,0,0,215,48,0,0,0,8485,69,41,0,12453
"G0100190","2000","3","6","Alabama","01","Cherokee","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cherokee County",0,0,0,0,0,0,0,0,0,0,6,0,82,0,10,0,17,0,0,0,0,6,296,0,1503,0,100,13,86,1,790,0,3,0,3,0,0,1657,0,97,0,8,0,0,0,0,0,33,2,76,11,30,2,0,249,187,0,0,0,0,0,66,16,9,0,0,8346,70,25,0,3149
"G0100210","2000","3","6","Alabama","01","Chilton","021",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chilton County",8,0,0,0,2,0,0,0,14,0,18,0,48,0,42,0,8,1,0,2,8,26,278,0,2387,0,515,0,508,69,1780,0,69,0,41,0,0,2720,0,331,0,14,0,0,0,0,0,99,30,167,1,0,28,27,523,439,13,0,2,0,0,80,193,7,0,0,10671,91,14,0,6602
"G0100230","2000","3","6","Alabama","01","Choctaw","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Choctaw County",0,0,0,0,13,0,0,0,2,0,3,15,9,0,0,0,0,0,0,2,2,0,73,0,591,0,44,0,81,14,317,0,15,0,0,0,0,620,0,52,0,0,0,0,0,0,0,8,0,31,0,4,0,0,213,129,0,0,0,0,0,295,21,3,0,0,2414,12,0,0,5737
"G0100250","2000","3","6","Alabama","01","Clarke","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clarke County",0,0,0,0,0,0,0,0,4,0,0,0,48,0,3,0,0,9,0,0,0,0,159,0,1090,0,134,0,260,44,542,0,14,0,10,0,0,975,0,117,0,0,0,0,0,0,0,16,0,35,0,9,0,0,223,259,0,0,8,0,0,297,8,0,0,0,5430,39,0,9,10784
"G0100270","2000","3","6","Alabama","01","Clay","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clay County",0,0,0,0,3,0,0,0,0,0,0,0,3,0,2,0,0,3,0,3,2,0,102,0,1178,0,101,0,100,32,447,0,9,0,0,0,0,803,0,34,0,6,0,0,0,0,0,18,0,13,1,0,7,0,186,161,0,0,0,0,0,77,29,2,0,0,3354,6,0,0,2430
"G0100290","2000","3","6","Alabama","01","Cleburne","029",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cleburne County",0,0,0,0,0,0,0,0,4,0,0,0,43,0,25,0,0,0,0,0,0,8,134,0,729,0,28,0,163,9,515,0,4,0,0,0,0,1093,0,23,0,0,0,0,0,0,0,0,0,26,21,0,10,0,212,117,0,0,0,0,0,3,5,0,0,0,4690,54,0,3,1697
"G0100310","2000","3","6","Alabama","01","Coffee","031",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coffee County",0,0,4,0,85,0,0,9,6,0,28,7,160,0,73,0,17,29,0,22,41,157,385,0,3489,8,342,54,668,152,2831,0,20,0,79,0,0,3266,0,519,0,0,0,0,0,0,0,261,0,383,18,0,87,10,739,741,0,0,18,0,0,189,136,34,21,59,8819,106,32,10,10620
"G0100330","2000","3","6","Alabama","01","Colbert","033",,,,,,,,,,,,,"2650","9999","9999",,,,,,,,"Colbert County",12,0,0,0,12,5,0,35,13,0,3,0,179,18,24,0,7,0,0,8,66,13,549,0,3785,0,272,9,556,36,3002,2,104,5,43,0,0,5740,22,399,0,0,0,0,0,0,12,161,6,220,0,0,18,0,1023,622,0,0,12,0,0,178,99,49,5,10,11396,158,40,14,13195
"G0100350","2000","3","6","Alabama","01","Conecuh","035",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Conecuh County",0,0,0,0,0,0,0,0,20,0,0,0,13,0,9,0,0,0,0,0,0,20,17,0,629,0,11,9,71,0,311,0,8,0,0,0,0,661,0,95,0,0,0,0,0,0,0,22,0,7,7,0,0,5,213,111,0,0,0,0,0,102,14,0,0,0,2222,12,0,3,5297
"G0100370","2000","3","6","Alabama","01","Coosa","037",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coosa County",13,0,0,0,8,0,0,0,12,0,0,0,13,0,0,0,0,0,0,2,6,9,64,0,534,0,15,0,104,0,382,0,27,0,7,0,0,710,0,36,0,0,0,0,0,0,0,20,0,22,8,0,0,0,144,286,0,0,0,0,0,47,25,0,0,5,2033,58,9,0,4277
"G0100390","2000","3","6","Alabama","01","Covington","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Covington County",12,0,6,0,8,0,0,29,7,0,30,0,79,0,15,0,14,0,0,0,0,0,264,0,2507,0,112,0,601,112,1343,0,15,2,8,0,0,2746,0,146,0,12,0,0,0,0,6,60,2,135,2,0,20,7,681,440,0,0,0,0,0,151,48,0,0,20,9841,64,10,14,6351
"G0100410","2000","3","6","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Crenshaw County",0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,4,0,15,82,0,810,0,34,1,113,0,465,0,3,0,0,0,0,766,0,39,0,11,0,0,0,0,0,39,0,15,0,0,3,7,217,105,0,5,5,0,0,86,16,0,0,0,3302,15,3,0,3362
"G0100430","2000","3","6","Alabama","01","Cullman","043",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cullman County",2,0,0,0,70,0,0,4,65,0,2,7,172,0,38,0,17,2,0,63,0,28,932,0,6194,0,381,22,827,219,8302,0,67,0,100,0,0,8615,0,952,0,15,0,0,0,1,17,126,12,370,17,0,51,31,1105,1040,0,0,0,0,0,59,157,12,4,39,18819,184,11,0,9916
"G0100450","2000","3","6","Alabama","01","Dale","045",,,,,,,,,,,,,"2180","9999","9999",,,,,,,,"Dale County",7,10,0,0,53,0,0,30,33,9,6,8,117,10,68,0,16,22,0,24,17,100,558,0,3584,0,394,14,671,284,3973,0,47,0,67,0,0,4159,0,863,0,14,0,0,0,0,2,266,2,510,75,13,73,30,953,691,0,8,37,0,0,245,217,33,0,17,8660,161,109,2,13882
