GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,TRACTA,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URB_AREAA,ANPSADPI,E8M001,E8M002,E8M003,E8M004,E8M005,E8M006,E8M007,E8M008,E8M009,E8M010,E8M011,E8M012,E8M013,E8M014,E8M015,E8M016,E8M017,E8M018,E8M019,E8M020,E8M021,E8M022,E8M023,E8M024,E8M025,E8M026,E8M027,E8M028,E8M029,E8M030,E8M031,E8M032,E8M033,E8M034,E8M035,E8M036,E8M037,E8M038,E8M039,E8M040,E8M041,E8M042,E8M043,E8M044,E8M045,E8M046,E8M047,E8M048,E8M049,E8M050,E8M051,E8M052,E8M053,E8M054,E8M055,E8M056,E8M057,E8M058,E8M059,E8M060,E8M061,E8M062,E8M063,E8M064,E8M065,E8M066,E8M067,E8M068,E8M069,E8M070,E8M071,E8M072,E8M073,E8M074,E8M075,E8M076,E8M077,E8M078,E8M079,E8M080,E8M081,E8M082,E8M083,E8M084,E8M085,E8M086,E8M087,E8M088,E8M089,E8M090,E8M091,E8M092,E8M093,E8M094,E8M095,E8M096,E8M097,E8M098,E8M099,E8M100,E8M101,E8M102,E8M103,E8M104,E8M105,E8M106
"G010","1990",,,,,,,,,"6",,,,"3","Alabama","01",,"Alabama",4700,26,23,279,26,287,2967,50,339,188,577,82,228,42,239,1550,75,655,146,16080,141,1720,0,376,0,5060,1626,885,3207,45830,307,375853,101,8445,1182,61883,7234,342998,23,5711,133,2798,188,1092,410400,127,37749,194,1188,44,18,80,12,767,5498,281,14588,973,506,3500,1909,109828,52538,135,96,3241,167,2,0,82,17,11,33,1385,0,0,14,78,57,0,7,5,2823,60,11612,2568,454,1249,705907,10705,151,64,8,47,52,382,181,701,211,28,543,15,417,1049796,25638,686093
"G020","1990",,,,,,,,,"9",,,,"4","Alaska","02",,"Alaska",678,181,12,0,0,0,217,5,10,56,148,18,133,0,139,1169,188,489,59,2290,71,1096,0,83,10,402,1737,735,4061,8223,72,51658,79,3351,2718,14824,3988,97039,19,1264,72,1461,103,136,44593,14,10119,120,921,19,2,15,32,610,16517,295,8443,1111,279,4051,3777,9809,11480,231,169,1176,48,0,20,34,5,0,0,38,0,0,0,0,0,0,0,0,315,18,11469,1790,48,580,23000,3074,0,6,0,0,33,29,89,102,41,0,100,0,1114,127458,20945,46910
"G040","1990",,,,,,,,,"8",,,,"4","Arizona","04",,"Arizona",1871,144,191,527,223,189,5095,105,448,1210,1299,402,2008,273,525,7544,888,3405,416,14218,304,6569,60,475,44,5246,10627,4190,22823,52237,894,393849,239,8179,7406,89013,19300,684857,283,10025,35,14475,545,2047,296539,807,118108,791,6513,690,209,291,117,1057,46816,2060,69773,4895,4014,24457,11450,63903,56435,1341,767,13996,810,78,104,256,128,5,0,464,0,0,44,214,85,0,22,55,1948,139,58640,9609,540,5867,101492,20233,60,26,99,0,67,378,267,824,217,67,540,14,3466,935487,65362,357889
"G050","1990",,,,,,,,,"7",,,,"3","Arkansas","05",,"Arkansas",4136,19,34,35,38,13,554,15,144,252,290,160,140,105,73,1160,81,530,18,7462,36,850,4,152,15,2851,2474,953,3230,41661,112,213211,30,3258,657,47753,4611,321428,47,1983,0,1438,66,317,288212,16,20482,148,1094,64,16,58,13,348,5898,529,12015,906,266,1541,1641,56196,23630,141,91,2775,45,0,67,52,45,23,0,849,0,0,0,8,0,8,0,11,1000,33,10510,3126,109,609,314204,6902,6,22,9,20,22,1493,39,159,6,0,152,10,346,489368,14587,428409
"G060","1990",,,,,,,,,"9",,,,"4","California","06",,"California",14423,1648,1001,18356,5497,5289,40949,2038,10699,12020,24294,4791,139522,14102,8740,65852,14814,20667,7926,119624,3966,57591,111,4371,306,37471,51254,26719,163964,335739,15711,2370828,3155,84023,44316,579484,118220,3676049,1514,102178,2337,104722,4517,103765,1947257,18185,1079022,9908,41755,2043,1206,6294,1965,13748,263646,8738,378077,275492,38208,327675,71846,399870,393809,8598,6494,66016,3888,878,2058,8725,1643,899,584,9396,52,275,332,3881,295,390,269,176,29041,1311,370470,86810,10020,40303,709442,119081,273,1075,10281,111,879,2008,4485,16803,2829,509,7640,271,37292,9173358,2806700,2510873
"G080","1990",,,,,,,,,"8",,,,"4","Colorado","08",,"Colorado",1957,170,140,440,153,66,2637,87,452,489,1169,467,1330,84,564,10246,746,2935,246,14627,387,4190,27,558,0,4714,14170,5084,25461,53877,1211,363136,303,10478,5729,78870,15532,840255,457,9288,84,10589,641,1927,290242,335,112147,1376,4635,284,90,102,127,2080,48300,2443,51609,3045,1658,22653,11846,70009,60833,1008,1303,15193,2501,106,21,575,84,21,23,690,0,0,8,178,34,45,0,55,1327,117,77709,11428,590,4660,96610,20840,15,36,37,7,36,263,171,680,34,61,297,0,3225,563063,68462,253094
"G090","1990",,,,,,,,,"1",,,,"1","Connecticut","09",,"Connecticut",655,2277,175,668,63,52,6480,156,288,1261,695,213,3899,846,697,11815,203,2137,2303,14256,100,9314,231,426,36,2028,5492,4079,9465,19151,3041,292593,885,3445,4996,169274,91913,306666,105,22290,686,31631,323,1456,393151,1046,510713,1729,26642,95,251,185,80,670,11628,570,224811,35523,3736,55723,3374,31420,48161,235,651,31284,656,84,2504,145,375,16,77,757,0,26,108,436,50,6,0,30,2774,161,48015,5838,1030,15844,76487,9306,137,938,66,127,456,68,4842,19648,845,50,3228,90,2083,375077,65846,238447
"G100","1990",,,,,,,,,"5",,,,"3","Delaware","10",,"Delaware",194,118,60,117,29,24,373,57,64,142,213,33,230,0,60,1433,7,418,60,3480,13,783,0,50,13,386,810,575,996,7741,332,84317,92,875,571,10542,2288,101318,40,2527,38,2010,9,233,88502,147,48156,298,1605,0,7,25,0,38,1926,1897,28137,735,343,4934,676,10572,10081,155,100,2857,31,7,0,63,6,9,22,231,0,0,20,36,7,17,0,0,599,64,4510,1067,277,3408,29084,4666,48,74,0,16,22,14,201,1039,152,9,251,8,237,117568,10982,66561
"G110","1990",,,,,,,,,"5",,,,"3","District Of Columbia","11",,"District of Columbia",109,53,32,284,44,16,924,310,148,45,439,196,315,62,115,1557,37,372,495,3098,43,374,0,56,22,468,647,358,831,2145,1099,23318,29,1628,324,5172,1191,27824,85,2069,693,1507,63,1043,22682,124,8881,398,1026,57,38,61,16,167,1693,49,6303,627,457,9019,574,4402,4969,134,52,883,111,41,111,1300,149,33,83,1737,23,158,201,113,126,13,24,44,4403,346,2354,1022,287,812,11651,1286,38,58,0,66,278,0,843,3072,900,131,971,6,266,344700,13063,73828
"G120","1990",,,,,,,,,"5",,,,"3","Florida","12",,"Florida",10085,1363,591,2870,552,601,19507,1084,2590,6170,6190,1355,6373,302,2109,44490,960,9979,7039,62066,1041,31845,181,948,312,14161,21598,12237,29837,157554,5147,1287805,1255,21150,19233,313708,91032,1870001,145,56416,4193,68049,1062,5633,1152151,4626,620739,4488,29102,819,498,1740,248,1868,59386,7345,295037,23975,20122,183244,14243,254977,203811,3153,2062,50553,2062,301,634,573,411,76,199,2818,78,210,0,1234,47,41,62,72,11960,481,111989,22588,4588,24844,724919,55457,12427,1631,1236,336,3561,599,103448,82765,7038,1183,12009,621,6482,2882493,248858,1472589
