GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,TRBL_BGA,BLCK_GRPA,C_CITYA,TRUSTA,RES_ONLYA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GV5001,GV5002,GV5003,GV5004,GV5005,GV5006,GV5007,GV5008,GV5009,GV5010,GV5011,GV5012,GV5013,GV5014,GV5015,GV5016,GV5017,GV5018,GV5019,GV5020,GV5021,GV5022,GV5023,GV5024,GV5025,GV5026,GV5027,GV5028,GV5029,GV5030,GV5031,GV5032,GV5033,GV5034,GV5035,GV5036,GV5037,GV5038,GV5039,GV5040,GV5041,GV5042,GV5043,GV5044,GV5045,GV5046,GV5047,GV5048,GV5049,GV5050,GV5051,GV5052,GV5053,GV5054,GV5055,GV5056,GV5057,GV5058,GV5059,GV5060,GV5061,GV5062,GV5063,GV5064,GV5065,GV5066,GV5067,GV5068,GV5069,GV5070,GV5071
"G010","2000","3","6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,"Alabama",912,36,127,49,6730,487,22,441,2724,107,1100,423,15974,217,3535,7,980,838,35,3444,2276,4461,41722,453,344735,132,33736,1803,65186,9466,254166,89,6481,277,3977,115,1069,342274,181,56220,197,1600,78,31,77,122,1346,13779,403,22979,1529,1039,5379,2076,88181,69037,249,665,1554,272,0,28867,13092,3607,582,1799,756375,15086,4923,967,1310165
"G020","2000","4","9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,"Alaska",204,46,319,27,836,192,11,245,1578,276,617,113,3234,106,2264,24,328,609,0,2636,1065,5743,11866,125,60360,33,8323,3731,20194,6480,104147,17,1576,11,2238,246,94,67578,62,17944,175,962,47,57,47,84,996,26439,376,13268,2128,350,7517,3119,11811,15763,262,349,827,185,0,1742,16685,2534,103,1580,35646,5382,1217,958,207125
"G040","2000","4","8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,"Arizona",597,523,995,278,17223,3532,1788,1698,13267,1655,6059,1154,21868,1052,16821,34,1691,6696,136,21677,8714,39482,83686,2761,532153,267,41576,11773,147080,34453,799777,219,16501,166,23571,769,4222,524306,984,224795,1454,10143,1024,505,605,311,3322,106771,2324,126665,11600,8469,40616,11372,79165,102879,3782,2502,8114,2595,56,14504,94601,17531,1825,10817,240392,38671,4671,9505,1824240
"G050","2000","3","7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",856,32,114,58,2405,296,83,340,1743,71,953,152,7524,114,2008,0,506,401,0,4730,1811,4636,40428,205,211226,24,19031,1011,51119,7299,249657,38,2595,73,2309,60,616,254773,103,34674,194,1062,129,15,30,200,618,13046,583,18867,1472,696,3270,1545,46580,35864,408,338,1136,231,0,12693,14562,4770,309,1295,424920,11003,2731,673,673771
"G060","2000","4","9","California","06",,,,,,,,,,,,,,,,,,,,,,,,"California",2895,25112,3670,1493,192887,204631,22671,17212,84959,20868,26820,19210,140156,7845,95327,263,10640,39071,456,77673,41216,207030,417382,34421,2521355,3465,309035,56528,782083,145370,3332396,1268,125284,3173,133988,6221,159016,2611449,24956,1450884,11000,51406,2824,2303,7533,4375,30542,436128,8310,491325,330974,56789,402480,58737,410310,541890,12760,13470,24535,9489,280,184921,459897,115485,15104,83125,1140830,188414,63639,49560,17000575
"G080","2000","4","8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,"Colorado",767,783,435,301,12588,2119,182,2278,17453,1674,5818,1101,23331,1495,10510,84,1999,5394,22,26901,9749,43216,86401,3987,515058,421,50715,9844,142322,28697,948371,686,15566,236,18411,1062,3738,525507,873,201787,1842,8690,822,221,235,356,5573,109744,2319,101190,7051,4431,45945,13133,89035,114216,1785,3604,6692,6111,74,17766,118846,21002,1147,10709,221463,42514,4693,7907,1092918
"G090","2000","1","1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",107,301,7200,198,14933,4849,706,1302,15892,262,2438,9884,15226,722,14551,193,681,2204,76,11618,9003,13751,28403,6540,349390,775,14967,6710,213849,109448,335692,14,27603,1865,40836,388,2428,565290,1387,634364,2024,32035,143,668,337,282,1715,21693,690,284272,44695,6057,66453,3154,39841,66764,551,2657,22982,1081,32,18705,65003,9488,1943,23457,110615,15629,52977,3760,642090
"G100","2000","3","5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,"Delaware",26,101,81,26,1766,389,47,90,1678,12,286,285,3744,113,1297,26,185,284,13,1589,1130,1585,10951,570,94638,214,4264,556,16060,4204,112026,0,3480,343,3886,17,372,129701,138,72677,370,2780,29,0,57,3,352,3941,2055,40636,1001,587,6139,468,11775,15041,161,365,2000,131,7,8024,6635,1761,347,5097,47484,7920,5279,275,189430
"G110","2000","3","5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",78,54,218,33,3120,372,9,257,1703,180,623,734,3402,207,948,6,126,508,18,1274,304,1047,2879,2160,25214,100,3445,568,6909,1353,27415,26,1893,709,2048,44,746,28081,229,12587,336,1156,44,7,18,63,420,2336,79,7910,682,930,8338,515,4185,6536,237,88,640,186,11,16000,3013,1153,435,1247,9919,2067,7861,279,316259
"G120","2000","3","5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,,"Florida",2690,437,4844,910,78254,9226,524,4372,54214,2127,14751,34878,77335,3310,59494,196,2711,13194,478,42890,24245,44366,216038,14218,1468576,1393,88360,25723,444171,131824,1887557,239,76908,11842,96885,1464,9625,1645585,9511,1003977,5384,38724,1346,1181,2168,835,5485,114687,8664,429691,48974,28521,201559,14208,246580,294293,5208,6236,29714,5306,54,90155,155010,35875,9615,42754,1278586,91683,491783,16638,4925154
